genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/06kr5yNAM2rOf4DXemM8fl,06kr5yNAM2rOf4DXemM8fl,,Matt Monro,57,artist,spotify:artist:06kr5yNAM2rOf4DXemM8fl,https://open.spotify.com/artist/06kr5yNAM2rOf4DXemM8fl,NA,228404
,https://api.spotify.com/v1/artists/1RaDKTFXuy0qA8YV1h9SwC,1RaDKTFXuy0qA8YV1h9SwC,,Jimmy Dean,46,artist,spotify:artist:1RaDKTFXuy0qA8YV1h9SwC,https://open.spotify.com/artist/1RaDKTFXuy0qA8YV1h9SwC,NA,70015
,https://api.spotify.com/v1/artists/3JJYPOCM13Id9iZHtkwkI5,3JJYPOCM13Id9iZHtkwkI5,,Eddie Hodges,32,artist,spotify:artist:3JJYPOCM13Id9iZHtkwkI5,https://open.spotify.com/artist/3JJYPOCM13Id9iZHtkwkI5,NA,1907
,https://api.spotify.com/v1/artists/1FqqOl9itIUpXr4jZPIVoT,1FqqOl9itIUpXr4jZPIVoT,,The Drifters,63,artist,spotify:artist:1FqqOl9itIUpXr4jZPIVoT,https://open.spotify.com/artist/1FqqOl9itIUpXr4jZPIVoT,NA,408563
,https://api.spotify.com/v1/artists/2NtGOVTuHBMDfR5PMNPBGT,2NtGOVTuHBMDfR5PMNPBGT,,Dee Dee Sharp,42,artist,spotify:artist:2NtGOVTuHBMDfR5PMNPBGT,https://open.spotify.com/artist/2NtGOVTuHBMDfR5PMNPBGT,NA,26795
,https://api.spotify.com/v1/artists/2nv8pUrGHqpVzYvQCyiKjk,2nv8pUrGHqpVzYvQCyiKjk,,David Rose,28,artist,spotify:artist:2nv8pUrGHqpVzYvQCyiKjk,https://open.spotify.com/artist/2nv8pUrGHqpVzYvQCyiKjk,NA,1375
,https://api.spotify.com/v1/artists/6ZID5oFfvvgzIRrqXaTJSy,6ZID5oFfvvgzIRrqXaTJSy,,Shelley Fabares,31,artist,spotify:artist:6ZID5oFfvvgzIRrqXaTJSy,https://open.spotify.com/artist/6ZID5oFfvvgzIRrqXaTJSy,NA,16740
,https://api.spotify.com/v1/artists/4S76LQXJD6N2uPcLhKejG8,4S76LQXJD6N2uPcLhKejG8,,Little Eva,49,artist,spotify:artist:4S76LQXJD6N2uPcLhKejG8,https://open.spotify.com/artist/4S76LQXJD6N2uPcLhKejG8,NA,42322
,https://api.spotify.com/v1/artists/708pmTl2zRKC87egxplOGc,708pmTl2zRKC87egxplOGc,,The Sensations,27,artist,spotify:artist:708pmTl2zRKC87egxplOGc,https://open.spotify.com/artist/708pmTl2zRKC87egxplOGc,NA,4533
,https://api.spotify.com/v1/artists/52uMkSFt2RVO6XxTEt5VeW,52uMkSFt2RVO6XxTEt5VeW,,Gene Chandler,46,artist,spotify:artist:52uMkSFt2RVO6XxTEt5VeW,https://open.spotify.com/artist/52uMkSFt2RVO6XxTEt5VeW,NA,65088
